desireToConnect,increasedLoneliness,recognizeLoneliness,abilityToBeHappy,healthConfirmationPrePandemic,withoutProof
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Somewhat Important,No noted difference,Somewhat Unimportant,Somewhat Unlikely
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Important,Likely
Heavily increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely
Moderately decreased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Likely
Moderately decreased,"Yes, often",Very Important,Significantly increased,Very Important,Likely
Heavily decreased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely
Heavily increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Likely
Heavily increased,"Yes, sometimes",Very Important,Significantly increased,Very Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Somewhat Important,Somewhat Likely
Not at all,No noticed change,Very Unimportant,No noted difference,Somewhat Important,Likely
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Likely
Not at all,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Very Unlikely
Moderately increased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Important,Likely
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Somewhat Important,Somewhat Unlikely
Moderately increased,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely
Moderately decreased,"Yes, sometimes",Very Important,Significantly decreased,Very Important,Somewhat Likely
Heavily decreased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Important,Somewhat Likely
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely
Moderately decreased,No noticed change,Generally Welcome,Somewhat increased,Somewhat Unimportant,Likely
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Very Unlikely
Moderately increased,"Yes, sometimes",Somewhat Important,No noted difference,Important,Likely
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Very Unlikely
Heavily increased,"Yes, often",Very Important,Significantly decreased,Somewhat Important,Somewhat Likely
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Unlikely
